[matematika] pertanyaan m35: 'Volume balok 5 x 4 x 3 cm adalah...' -> 'Volume balok 5 × 4 × 3 cm adalah...'
[numerik] pertanyaan n2: '78 x 23 = ...' -> '78 × 23 = ...'
[numerik] pertanyaan n10: '0.125 x 0.8 = ...' -> '0.125 × 0.8 = ...'
[numerik] pertanyaan n12: '144 / 12 x 3 = ...' -> '144 / 12 × 3 = ...'
[numerik] pertanyaan n20: '1001 x 11 = ...' -> '1001 × 11 = ...'
[numerik] pertanyaan n21: '45 x 11 = ...' -> '45 × 11 = ...'
[numerik] pertanyaan n32: '48 x 25 = ...' -> '48 × 25 = ...'
[numerik] pertanyaan n39: '8 x 125 = ...' -> '8 × 125 = ...'
[numerik] pertanyaan n42: '12 x 12 = ...' -> '12 × 12 = ...'
[numerik] pertanyaan n44: '2 x 3 x 4 x 5 = ...' -> '2 × 3 × 4 × 5 = ...'
[numerik] pertanyaan n47: '15 x 15 = ...' -> '15 × 15 = ...'
[numerik] pertanyaan n52: '16 x 5 = ...' -> '16 × 5 = ...'
[numerik] pertanyaan n59: '7 x 8 = ...' -> '7 × 8 = ...'
[verbal] pertanyaan v1: 'PERWIRA:TNI = KOMISIONER:...' -> 'PERWIRA : TNI = KOMISIONER : ...'
[verbal] pertanyaan v3: 'SENJATA:PRAJURIT = SKALPEL:...' -> 'SENJATA : PRAJURIT = SKALPEL : ...'
[verbal] pertanyaan v6: 'MILITER:BARAK = TAHANAN:...' -> 'MILITER : BARAK = TAHANAN : ...'
[verbal] pertanyaan v8: 'BERANI:PENAKUT = DISIPLIN:...' -> 'BERANI : PENAKUT = DISIPLIN : ...'
[verbal] pertanyaan v10: 'STRATEGI:TAKTIK = KEBIJAKAN:...' -> 'STRATEGI : TAKTIK = KEBIJAKAN : ...'
[verbal] pertanyaan v12: 'KOMANDAN:PASUKAN = GURU:...' -> 'KOMANDAN : PASUKAN = GURU : ...'
[verbal] pertanyaan v14: 'AKADEMI MILITER:PERWIRA = UNIVERSITAS:...' -> 'AKADEMI MILITER : PERWIRA = UNIVERSITAS : ...'
[verbal] pertanyaan v16: 'PRAJURIT:SENJATA = DOKTER:...' -> 'PRAJURIT : SENJATA = DOKTER : ...'
[verbal] pertanyaan v19: 'INISIATIF:PASIF = DISIPLIN:...' -> 'INISIATIF : PASIF = DISIPLIN : ...'
[verbal] pertanyaan v22: 'PANGKAT:TNI = KELAS:...' -> 'PANGKAT : TNI = KELAS : ...'
[verbal] pertanyaan v25: 'LATIHAN:UJIAN = PEMANASAN:...' -> 'LATIHAN : UJIAN = PEMANASAN : ...'
[verbal] pertanyaan v28: 'PERWIRA:PRAJURIT = DOKTER:...' -> 'PERWIRA : PRAJURIT = DOKTER : ...'
[verbal] pertanyaan v32: 'SENJATA:TENTARA = STETOSKOP:...' -> 'SENJATA : TENTARA = STETOSKOP : ...'
[verbal] pertanyaan v38: 'JENDERAL:PERWIRA = DOKTER:...' -> 'JENDERAL : PERWIRA = DOKTER : ...'
[verbal] pertanyaan v41: 'MILITER:NEGARA = POLISI:...' -> 'MILITER : NEGARA = POLISI : ...'
[verbal] pertanyaan v45: 'PERWIRA:TNI = DOKTER:...' -> 'PERWIRA : TNI = DOKTER : ...'
[verbal] pertanyaan v49: 'TENTARA:SENJATA = PETANI:...' -> 'TENTARA : SENJATA = PETANI : ...'
[verbal] pertanyaan v59: 'KALAH:MENANG = MUNDUR:...' -> 'KALAH : MENANG = MUNDUR : ...'
[kraepelin] pertanyaan k31: 'Berapa hasil 3 + 4? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 3 + 4? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k32: 'Berapa hasil 4 + 3? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 4 + 3? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k33: 'Berapa hasil 3 + 1? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 3 + 1? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k34: 'Berapa hasil 4 + 9? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 4 + 9? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k35: 'Berapa hasil 5 + 4? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 5 + 4? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k36: 'Berapa hasil 5 + 1? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 5 + 1? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k37: 'Berapa hasil 9 + 2? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 9 + 2? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k39: 'Berapa hasil 9 + 5? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 9 + 5? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k40: 'Berapa hasil 8 + 3? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 8 + 3? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k41: 'Berapa hasil 8 + 9? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 8 + 9? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k42: 'Berapa hasil 9 + 8? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 9 + 8? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k44: 'Berapa hasil 2 + 2? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 2 + 2? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k45: 'Berapa hasil 1 + 6? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 1 + 6? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k46: 'Berapa hasil 2 + 5? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 2 + 5? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k49: 'Berapa hasil 6 + 2? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 6 + 2? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k50: 'Berapa hasil 7 + 1? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 7 + 1? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k52: 'Berapa hasil 6 + 5? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 6 + 5? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k53: 'Berapa hasil 6 + 8? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 6 + 8? (jika hasil ≥10, tulis satuannya saja)'
[kraepelin] pertanyaan k54: 'Berapa hasil 4 + 2? (jika hasil ≥ 10, tulis satuannya saja)' -> 'Berapa hasil 4 + 2? (jika hasil ≥10, tulis satuannya saja)'
